Symbol,logFC,logCPM,PValue,FDR
Nost,1.381078749,5.053324321,1.01E-07,2.19E-06
AdamTS-A,1.159780524,5.703008067,1.04E-07,2.25E-06
TrpA1,1.916901468,2.650265354,1.07E-07,2.31E-06
dy,-2.556316666,0.298428783,1.11E-07,2.40E-06
CG14984,1.169361708,5.932983984,1.16E-07,2.48E-06
s-cup,-0.92010639,7.36103737,1.17E-07,2.50E-06
CG13202,1.911335898,2.145882807,1.19E-07,2.55E-06
Cyp12e1,1.60124932,4.469868981,1.24E-07,2.64E-06
CG2145,1.339188175,5.108257293,1.24E-07,2.64E-06
CG33110,1.049975249,6.81168921,1.25E-07,2.64E-06
Cpr92F,1.86356764,2.04008619,1.26E-07,2.67E-06
IA-2,-0.88739053,8.611589282,1.32E-07,2.80E-06
Appl,-0.883326169,9.867721622,1.36E-07,2.86E-06
CG1126,-1.091101052,6.13736973,1.38E-07,2.91E-06
GstE5,-0.952794125,7.011789235,1.46E-07,3.06E-06
CG13251,-1.045399764,6.216494088,1.47E-07,3.07E-06
CG11796,1.681817751,7.959477612,1.54E-07,3.21E-06
Cby,-1.573000066,4.489194751,1.54E-07,3.21E-06
CG1695,-1.065704144,6.10487422,1.60E-07,3.32E-06
CG2157,1.177972662,6.210971031,1.61E-07,3.34E-06
CG33143,-1.081482144,6.361581986,1.64E-07,3.39E-06
CG18130,1.019403911,6.292241775,1.64E-07,3.39E-06
CG34166,-3.701974592,2.924940907,1.66E-07,3.43E-06
CG14219,2.455673586,0.031982633,1.70E-07,3.50E-06
CG32260,1.658368626,4.499314417,1.80E-07,3.69E-06
CG4133,-1.214474059,5.47847751,1.81E-07,3.69E-06
CG31760,-1.754739429,3.423084106,1.81E-07,3.69E-06
CG6495,-1.026066889,6.221645099,1.82E-07,3.71E-06
CG13500,2.407980083,0.054034308,2.02E-07,4.11E-06
CG17350,1.411546827,5.005887591,2.05E-07,4.16E-06
CG7742,1.019388822,6.40292731,2.09E-07,4.23E-06
Hn,1.028386635,6.922488197,2.12E-07,4.28E-06
fax,1.249922512,7.503183586,2.15E-07,4.34E-06
CG42321,-0.860204742,8.456811477,2.17E-07,4.37E-06
ems,1.119101194,5.786464634,2.18E-07,4.37E-06
CG11951,1.200934126,6.233397461,2.24E-07,4.49E-06
CG3009,0.973655056,6.632724936,2.26E-07,4.52E-06
peb,-1.031281685,6.163082652,2.43E-07,4.85E-06
Mdh1,-1.028012021,8.154726373,2.45E-07,4.88E-06
Atet,-0.904467533,7.856544573,2.59E-07,5.14E-06
CG42390,0.940910308,7.98630324,2.62E-07,5.19E-06
Incenp,7.541548339,4.425750579,2.68E-07,5.30E-06
sas,1.015937187,6.487255999,2.72E-07,5.37E-06
CG9452,-1.016902703,7.744284258,2.75E-07,5.40E-06
CG14105,1.519975742,4.799932444,2.75E-07,5.40E-06
H15,-1.081834301,6.078776996,2.75E-07,5.40E-06
CG17018,4.145163887,4.472680766,2.77E-07,5.43E-06
CG1441,0.955532741,6.805667674,2.78E-07,5.44E-06
Spn42Dd,1.172557099,5.672261781,2.93E-07,5.72E-06
GstS1,1.18068217,6.937078708,2.98E-07,5.80E-06
CCHa2-R,2.009123187,1.3091203,2.98E-07,5.80E-06
uzip,-0.883645468,8.54012028,3.02E-07,5.84E-06
CarT,-2.359834646,0.5094197,3.02E-07,5.84E-06
CG15829,-2.005212123,2.810074457,3.09E-07,5.96E-06
vvl,1.239683252,5.494271055,3.09E-07,5.96E-06
CG1927,-0.878360114,9.841566681,3.10E-07,5.97E-06
CG33993,1.823901592,2.070547928,3.25E-07,6.24E-06
CR44043,-2.314819768,0.304689568,3.26E-07,6.24E-06
CG5535,1.147378138,5.737710532,3.27E-07,6.26E-06
CG6739,1.698031412,2.623799817,3.35E-07,6.38E-06
Gr43a,-2.42337338,0.028861579,3.37E-07,6.42E-06
Eaat1,0.963881872,6.873816767,3.42E-07,6.50E-06
CG8654,-1.540845127,4.538040014,3.43E-07,6.51E-06
CG7724,0.953674748,7.626951573,3.49E-07,6.61E-06
CG6435,1.001239107,6.554608438,3.60E-07,6.80E-06
E(spl)m7-HLH,-2.480136102,0.378734905,3.75E-07,7.05E-06
rut,-0.871209694,7.86456215,3.75E-07,7.05E-06
spirit,1.272221255,5.222745809,3.76E-07,7.05E-06
Gr64a,-2.087522083,1.058700842,3.76E-07,7.05E-06
CG11425,-2.070787894,3.362022776,3.79E-07,7.08E-06
CG7201,1.875648615,2.567503471,3.79E-07,7.08E-06
CG9947,-0.854267837,7.424514428,3.80E-07,7.08E-06
CG15628,1.024276667,8.04078985,3.84E-07,7.14E-06
CG5397,0.9064003,8.481711851,3.92E-07,7.26E-06
rad,-1.718198638,3.771494328,3.92E-07,7.26E-06
CG45105,0.969953527,6.604577994,3.93E-07,7.26E-06
CG9572,1.140400502,7.393575574,3.94E-07,7.26E-06
squ,5.39307048,3.563186636,3.99E-07,7.34E-06
CG42322,-0.893179419,7.567851742,4.12E-07,7.57E-06
Mal-A5,2.175187067,4.491778343,4.18E-07,7.66E-06
Vha13,-0.861454677,9.289799952,4.18E-07,7.66E-06
CG31097,-2.499379659,0.004327295,4.21E-07,7.69E-06
CR43650,2.007609739,1.205952127,4.27E-07,7.78E-06
Spn85F,2.643320019,-0.334213535,4.31E-07,7.84E-06
CG8539,-1.223889477,5.573934589,4.34E-07,7.89E-06
Cyp6a23,1.331855949,5.444305968,4.37E-07,7.91E-06
Ser,2.272652792,0.710524818,4.43E-07,8.01E-06
CG3746,1.822288354,2.733498222,4.49E-07,8.10E-06
beat-IIa,-2.187123422,1.204627898,4.52E-07,8.15E-06
CG32809,-1.027131055,6.545359351,4.55E-07,8.18E-06
Def,-2.318515242,1.237177432,4.62E-07,8.29E-06
Dhc93AB,0.875203783,8.000202043,4.67E-07,8.36E-06
CG1513,-0.850056335,8.447108373,4.71E-07,8.43E-06
CG11854,-1.686937059,4.564839382,4.99E-07,8.91E-06
bdl,0.841269296,8.413073803,5.02E-07,8.95E-06
Dh44-R1,-1.632553124,3.856021209,5.10E-07,9.06E-06
NijC,-1.113981887,5.72606255,5.38E-07,9.56E-06
chrb,-0.859750265,8.707727661,5.48E-07,9.71E-06
Tdc1,-1.822140836,3.107338367,5.51E-07,9.75E-06
PGRP-SD,1.872466692,6.045820665,5.54E-07,9.78E-06
ine,0.833943785,7.610483336,5.97E-07,1.05E-05
plx,-0.843615059,9.146903346,6.36E-07,1.12E-05
Gfrl,-0.880022049,6.970309488,6.69E-07,1.17E-05
retm,-0.916916734,7.135763319,6.96E-07,1.22E-05
Obp84a,1.014830931,6.94749461,7.07E-07,1.24E-05
CG13101,-1.164211717,5.912105941,7.08E-07,1.24E-05
BBS1,-1.660526252,3.566242959,7.12E-07,1.24E-05
CG3812,-1.191698207,5.440145829,7.18E-07,1.25E-05
sv,-0.983251601,6.227385039,7.27E-07,1.26E-05
CG7589,1.520042152,4.242871391,7.38E-07,1.28E-05
CG14762,-0.843474731,7.594679475,7.78E-07,1.35E-05
Obp8a,1.616588937,4.107497896,7.82E-07,1.35E-05
Dh31-R,-1.650806577,3.647250456,7.93E-07,1.37E-05
sev,0.878969221,6.893166592,8.15E-07,1.40E-05
CG10062,0.889953299,6.921265057,8.18E-07,1.40E-05
mmd,1.371010843,4.768081489,8.58E-07,1.47E-05
toe,-0.972840305,6.298255542,8.60E-07,1.47E-05
PPO1,2.67121015,3.25222758,9.15E-07,1.56E-05
CG10553,-0.831551916,7.696067805,9.19E-07,1.57E-05
CG14259,0.872801806,7.494140894,9.54E-07,1.62E-05
prom,-2.067412666,0.61869469,1.00E-06,1.70E-05
CR42646,2.311020309,0.210914181,1.07E-06,1.82E-05
CG31644,-2.285547931,0.214596466,1.11E-06,1.87E-05
Cht7,1.966461182,1.135984999,1.13E-06,1.92E-05
CG31103,0.907525019,6.832901036,1.17E-06,1.97E-05
CG6429,0.946896115,6.776116748,1.29E-06,2.16E-05
CG32032,0.827635863,7.847689195,1.31E-06,2.20E-05
CG9328,1.25822453,5.697163359,1.34E-06,2.25E-05
TpnC25D,1.094437633,6.02493701,1.34E-06,2.25E-05
Men,-0.794892583,9.254435232,1.35E-06,2.26E-05
wat,1.524618534,6.626940502,1.37E-06,2.29E-05
sns,-1.600782052,3.63127096,1.40E-06,2.34E-05
Ir60a,1.558917044,3.982619713,1.42E-06,2.37E-05
how,0.868096767,7.025407179,1.47E-06,2.44E-05
comm3,1.322710462,4.920436767,1.48E-06,2.46E-05
MFS14,-0.864393278,6.96785356,1.54E-06,2.55E-05
CG6870,1.855269526,1.933770878,1.58E-06,2.62E-05
CG5895,0.996235058,6.203315985,1.60E-06,2.64E-05
nxf2,2.862908714,3.038169201,1.61E-06,2.65E-05
CR46245,-2.063650252,0.921575352,1.62E-06,2.67E-05
CG34355,1.678179616,3.396760265,1.70E-06,2.79E-05
CG7214,1.509864761,5.233273804,1.71E-06,2.79E-05
CG10339,0.954994554,6.169842613,1.74E-06,2.84E-05
snoRNA:2R:9445410,-1.804775635,1.334541524,1.79E-06,2.91E-05
CG17777,2.364549155,2.621147774,1.80E-06,2.93E-05
CG9384,-0.877647543,6.871145927,1.86E-06,3.02E-05
qin,1.992736494,2.963734671,1.88E-06,3.05E-05
amon,-0.848485625,6.976245774,1.95E-06,3.16E-05
yellow-e,1.210692824,5.466233394,1.97E-06,3.18E-05
Pen,5.022690666,4.047123995,2.00E-06,3.23E-05
Oseg6,-1.011572351,5.794970013,2.11E-06,3.40E-05
CG7016,1.405728783,4.49118533,2.20E-06,3.54E-05
CG3301,0.927693829,6.523155657,2.21E-06,3.55E-05
CG3168,0.797515687,8.250216087,2.25E-06,3.61E-05
aPKC,1.013934982,6.571149048,2.27E-06,3.64E-05
CCHa1-R,-2.057596685,0.87248272,2.32E-06,3.71E-05
Vha16-1,-0.786510013,10.87113141,2.33E-06,3.71E-05
CG17549,0.891078537,8.305463878,2.36E-06,3.76E-05
CG12869,1.772759261,1.487555747,2.38E-06,3.79E-05
ZnT41F,1.379054113,4.557376118,2.45E-06,3.89E-05
CG42675,-0.833441035,7.020748503,2.45E-06,3.89E-05
CG5191,-0.815653517,7.172380936,2.46E-06,3.90E-05
dnr1,-0.777920408,7.583670065,2.54E-06,4.02E-05
brk,-1.671056637,2.934092121,2.58E-06,4.06E-05
snoRNA:2R:9445205,-2.307887986,-0.153196837,2.65E-06,4.17E-05
CG5162,0.944692404,6.074520215,2.65E-06,4.17E-05
CG5390,0.791259553,7.777163969,2.72E-06,4.26E-05
CG30046,2.587839548,1.916566761,2.78E-06,4.35E-05
cib,0.926673826,6.480551042,2.87E-06,4.49E-05
CycB3,5.15078273,5.731235138,2.92E-06,4.55E-05
CG8180,0.936800227,6.101452911,2.92E-06,4.55E-05
CR43700,-1.760332351,1.674966969,3.11E-06,4.83E-05
Chd64,0.963831497,6.28539934,3.11E-06,4.84E-05
CG13458,1.722336858,2.796004464,3.13E-06,4.85E-05
CG10730,-2.265263004,0.31571069,3.21E-06,4.97E-05
Sema5c,1.491318337,4.228064133,3.24E-06,5.00E-05
CG34215,2.135521615,1.936921697,3.27E-06,5.04E-05
CG31189,1.137643067,5.485697341,3.44E-06,5.30E-05
jtb,-1.932608825,3.681320402,3.52E-06,5.40E-05
CG11453,-1.60976984,3.284811699,3.52E-06,5.40E-05
CR43476,-2.066287043,0.272214348,3.55E-06,5.44E-05
CG30082,1.996282694,0.612617011,3.58E-06,5.47E-05
CG5142,-0.949538581,6.008010746,3.58E-06,5.47E-05
Cyp4g15,0.843746763,6.99498275,3.60E-06,5.49E-05
Cyp305a1,1.393271675,4.751747678,3.80E-06,5.79E-05
Syt4,-0.791772733,8.546110991,3.88E-06,5.90E-05
CG15368,1.802042428,2.008989224,3.91E-06,5.94E-05
Pax,1.072140585,7.363465296,3.98E-06,6.03E-05
Drsl4,1.109161136,5.918532637,3.98E-06,6.03E-05
Ect4,0.878411384,9.15433561,3.99E-06,6.03E-05
CG13285,0.829264007,7.222800595,4.03E-06,6.08E-05
CR45290,-2.223140873,0.241047836,4.03E-06,6.08E-05
hdm,-2.01823367,0.302647875,4.04E-06,6.08E-05
antr,-2.205249292,-0.056224363,4.09E-06,6.14E-05
CG30158,-1.575888852,3.164602024,4.09E-06,6.14E-05
CG44325,0.891089071,6.5520804,4.12E-06,6.16E-05
CG1673,2.073029793,1.686835097,4.13E-06,6.17E-05
CG13003,1.130091771,5.246587077,4.14E-06,6.18E-05
CG42822,2.305247165,0.460623352,4.22E-06,6.29E-05
CG45057,1.450360342,4.424653484,4.26E-06,6.34E-05
CG9743,0.88846333,6.465090375,4.31E-06,6.40E-05
Ac76E,-0.861593658,6.642516767,4.33E-06,6.42E-05
CG8369,0.81651011,12.39585055,4.42E-06,6.55E-05
CG15161,-1.048424728,5.66933451,4.45E-06,6.58E-05
CG15529,1.573459231,2.16828821,4.47E-06,6.59E-05
CG14275,0.907181469,6.371707916,4.47E-06,6.59E-05
niki,-0.916199041,6.144940561,4.68E-06,6.88E-05
CG34219,-1.577914434,2.400726088,4.69E-06,6.89E-05
iav,0.870052147,6.360581126,4.72E-06,6.93E-05
gogo,-1.193685038,4.918307762,4.88E-06,7.14E-05
DptB,2.3074697,1.360867553,4.95E-06,7.24E-05
CG31769,0.949873454,6.324568924,5.10E-06,7.44E-05
Act87E,1.415430097,8.177508371,5.12E-06,7.46E-05
CG11317,0.901148621,6.206905367,5.13E-06,7.47E-05
CG14757,0.90821275,6.608538716,5.15E-06,7.49E-05
CR45115,1.573506809,3.328581321,5.21E-06,7.56E-05
CG4194,-1.690368085,2.719077775,5.23E-06,7.57E-05
ry,1.464259566,4.112081276,5.24E-06,7.58E-05
Non1,0.801875433,8.790363715,5.29E-06,7.65E-05
CG15203,0.772635528,7.694072797,5.32E-06,7.67E-05
CG14314,-1.029907548,5.632509284,5.35E-06,7.70E-05
Src42A,-0.761180905,8.152532135,5.36E-06,7.70E-05
CG7568,1.291512191,4.657671786,5.39E-06,7.73E-05
CG10116,1.551371661,3.345762657,5.46E-06,7.82E-05
CG14301,1.694667811,1.379879906,5.65E-06,8.09E-05
Obp57e,2.367390681,0.43422925,5.66E-06,8.09E-05
Cyp6w1,-0.861828059,11.49442774,5.70E-06,8.13E-05
N,1.150709748,5.22343423,5.74E-06,8.18E-05
CG7997,2.069966195,2.911892953,5.83E-06,8.29E-05
snoRNA:Psi28S-1153,-1.689757699,1.66111252,6.17E-06,8.76E-05
fend,3.313325473,3.354951017,6.25E-06,8.85E-05
LpR1,1.534989376,4.272499366,6.25E-06,8.85E-05
CG7381,-0.939461316,6.334194545,6.34E-06,8.97E-05
Gabat,0.823534555,7.819206968,6.64E-06,9.38E-05
Pde11,0.780034274,7.585556095,6.74E-06,9.50E-05
CG33144,-0.754503783,7.419571538,6.85E-06,9.65E-05
dpr9,-1.064020899,5.391376503,7.16E-06,0.00010062
CG31674,-1.474822193,3.351207483,7.24E-06,0.000101569
orb2,-0.819051602,7.793907607,7.31E-06,0.000102215
CG9427,-1.483816475,2.636588439,7.31E-06,0.000102215
Sep5,4.173916659,1.950555075,7.31E-06,0.000102215
mol,2.407865598,4.551296154,7.44E-06,0.000103851
Oamb,-0.9558616,6.072768244,7.60E-06,0.000105843
Lmpt,0.778474793,8.291204644,7.73E-06,0.000107539
CG33679,1.519644561,3.646478982,7.75E-06,0.000107609
hoe1,0.742446461,8.667488349,7.76E-06,0.000107609
CG14551,-1.863622779,0.739641651,7.78E-06,0.000107749
mfas,0.766135122,7.999500601,7.80E-06,0.000107944
Wnt2,-1.040624781,5.587853906,7.85E-06,0.000108418
Cyp313a4,1.300563141,4.991511163,7.91E-06,0.00010913
CG6071,-1.700990497,1.27468456,8.21E-06,0.000113119
pncr017:3R,1.811380588,0.71937893,8.25E-06,0.000113433
CG15202,0.816344217,6.717283242,8.33E-06,0.000114399
CG15784,0.772620586,7.132525746,8.56E-06,0.000117319
Fdh,0.854611982,6.412725016,9.21E-06,0.000126177
CG15731,1.627091777,1.634361056,9.32E-06,0.000127416
Vha68-2,-0.740267365,10.12641363,9.33E-06,0.000127416
RhoGEF4,3.476376769,3.015835002,9.41E-06,0.00012824
Cdc6,5.705333622,4.014292265,9.45E-06,0.000128704
CG44247,-0.811300398,6.70709426,9.48E-06,0.0001289
CG9812,0.943447178,7.720411623,9.67E-06,0.000131311
CG43110,-1.328714417,4.678356362,9.76E-06,0.000132239
CG1461,2.016888315,2.884924725,9.77E-06,0.000132239
CG6765,-1.055028852,5.443202802,9.79E-06,0.000132293
CG34325,0.948983682,5.827881794,9.99E-06,0.000134796
Sodh-2,1.380522723,4.030934402,1.01E-05,0.000136166
CR43671,2.185423035,0.749551754,1.01E-05,0.000136255
Thor,1.287103654,5.583221339,1.01E-05,0.000136255
CG7888,0.75216616,7.819253451,1.02E-05,0.000137023
Pdk,0.760155367,8.127113695,1.03E-05,0.000137454
CG13082,1.943312051,0.387854124,1.03E-05,0.000138366
Hsc70-2,0.942411501,5.813809851,1.04E-05,0.000139628
Adh,1.714576591,2.029101683,1.05E-05,0.000140224
CG3777,1.607113047,1.922424695,1.05E-05,0.000140224
CG15803,-0.880234006,6.260963491,1.06E-05,0.000140988
CG7860,1.478242508,3.189481069,1.07E-05,0.000142402
Hsp27,1.484380166,3.153023713,1.07E-05,0.000142659
CG31028,1.646020627,1.457674247,1.09E-05,0.000144167
Cpr62Bc,1.753519377,0.836016038,1.10E-05,0.000145009
wisp,5.658816486,4.200317356,1.10E-05,0.000145716
CG16700,0.971803698,6.99330148,1.10E-05,0.000145755
CG5778,0.884446945,6.862159397,1.13E-05,0.000148897
CG9400,1.006663999,5.860814569,1.15E-05,0.000150998
CG2678,3.742719348,1.864162359,1.15E-05,0.000151491
Faa,1.080275091,5.413701532,1.17E-05,0.000154136
slo,-0.825904209,7.900673696,1.19E-05,0.000155367
kek4,-1.527495694,3.196831603,1.19E-05,0.000155778
exu,1.306523658,4.40893806,1.23E-05,0.00016019
CG32512,2.998091666,4.218081071,1.23E-05,0.000160878
Acsl,-0.751615001,8.808638447,1.25E-05,0.000162316
fas,-1.464543732,3.627163459,1.26E-05,0.000163593
vir-1,0.774477509,10.88865082,1.27E-05,0.000164949
CG43737,-1.344257157,4.181757524,1.28E-05,0.000165725
CG3714,0.726201954,8.828280948,1.29E-05,0.000166741
GlyRS,1.095906288,6.122068248,1.30E-05,0.000167592
dally,0.819656144,6.587007294,1.30E-05,0.000167592
CG10939,-0.75182656,8.535044592,1.30E-05,0.000167592
Pdfr,-1.027481326,5.375607824,1.30E-05,0.000167592
Cyp311a1,0.932648992,5.893410061,1.31E-05,0.000168164
twe,5.838633526,4.097434234,1.31E-05,0.000168164
olf186-F,-0.803577793,6.949594059,1.32E-05,0.000169885
CG16978,0.763824493,8.029538344,1.33E-05,0.000169885
Dsk,1.482390959,2.035585161,1.36E-05,0.00017432
CG4576,-0.789485439,8.268329911,1.37E-05,0.00017504
Zip89B,1.608879751,3.581795858,1.40E-05,0.000178902
CR44169,-1.669907644,1.333803065,1.42E-05,0.000180686
foi,0.715352094,8.28210157,1.46E-05,0.000185458
Galk,0.826927465,6.941112451,1.54E-05,0.000195427
Dnai2,1.005738307,5.494321903,1.54E-05,0.000195427
Obp99d,-1.955287327,0.646796915,1.58E-05,0.00020071
rn,1.609334342,1.349204347,1.59E-05,0.000201979
Col4a1,0.93643342,6.150428594,1.60E-05,0.000201979
CG6225,0.815346554,6.740095146,1.62E-05,0.000205197
CG42826,1.609975318,1.202428093,1.63E-05,0.000205855
dsb,1.139233226,4.978262816,1.73E-05,0.000217427
CG14085,1.081895523,5.135208799,1.73E-05,0.000217427
CG30101,1.65537838,1.785345542,1.84E-05,0.000230758
CG9631,1.043432235,5.512097696,1.85E-05,0.000232215
hig,0.862479554,6.077213797,1.85E-05,0.000232215
CR14033,2.352122471,4.180202535,1.86E-05,0.00023227
CG14367,-0.722156808,7.771960065,1.92E-05,0.000239633
mad2,3.602246534,3.450716109,1.98E-05,0.000247543
CG4525,-0.903637262,5.880697989,1.99E-05,0.000247749
Eip63F-1,0.865219246,6.543733952,2.08E-05,0.000259481
CG14853,-0.76737519,6.898637376,2.13E-05,0.000264892
AttB,1.443121982,4.891056403,2.16E-05,0.000268798
Amt,0.754059098,9.973603063,2.17E-05,0.000269432
GstE6,-0.729941582,8.73376779,2.21E-05,0.000273409
CG17124,-0.798579131,6.642601748,2.24E-05,0.000277549
CG9593,1.592567839,1.849409471,2.35E-05,0.000290064
Gadd45,1.205238575,4.708915628,2.38E-05,0.000294143
ninaD,2.028650196,0.290141577,2.39E-05,0.000294234
CG7530,1.147876582,5.261007851,2.42E-05,0.000298
Tb,2.005496008,0.640349173,2.50E-05,0.000306696
CG31313,0.80694487,8.172758718,2.51E-05,0.000307549
CG12483,-2.237156505,5.774555429,2.54E-05,0.000311423
CG14982,-1.141328646,4.864526404,2.55E-05,0.000312266
alpha-Est2,-1.505037838,1.918348866,2.57E-05,0.000313553
Sytalpha,0.840707104,6.570419894,2.57E-05,0.000313553
CG10737,-0.777105108,9.282561306,2.59E-05,0.000316036
Rbp6,-0.717495737,9.52547353,2.62E-05,0.000319385
vkg,0.931324191,5.742222467,2.68E-05,0.000326246
CG42399,-0.901250459,5.840902352,2.70E-05,0.00032771
CR44283,1.692604553,3.982167768,2.72E-05,0.000329594
Dro,1.508949613,5.017723685,2.72E-05,0.000330027
CG13842,1.021401415,5.222262878,2.82E-05,0.000340669
CG15247,1.883799716,2.618984853,2.85E-05,0.000344965
dati,-1.16604534,4.90755121,2.88E-05,0.000347214
nrv2,0.731165137,9.337364974,2.88E-05,0.000347214
Eglp4,-0.743545498,7.710954804,2.89E-05,0.000348456
Gclc,-0.693210213,7.959532031,2.93E-05,0.000351966
Nrx-1,-0.710310152,8.62683396,2.94E-05,0.000352729
SoYb,2.114347308,3.575150043,2.94E-05,0.000352729
Pgd,-0.70162639,7.786760896,2.95E-05,0.000352729
CG30427,0.833824644,6.290765887,2.98E-05,0.000356381
dpp,1.090034113,5.252782473,3.04E-05,0.000363545
Mcm5,3.269781096,2.826233626,3.05E-05,0.000363892
CR46041,-1.304373702,4.593233173,3.05E-05,0.000363892
NimB2,1.400422889,4.228014679,3.07E-05,0.00036501
GV1,-0.792674898,6.788872357,3.14E-05,0.000372711
CG14024,-1.470069461,2.76144467,3.14E-05,0.000372711
l(2)k05911,1.743082904,0.675150887,3.16E-05,0.000374366
CG15765,0.726301884,7.069338463,3.16E-05,0.000374366
CG3036,0.904931888,6.079040979,3.22E-05,0.000380728
NPFR,-1.68099495,1.232287814,3.22E-05,0.000380728
wun,-0.752348876,6.846639465,3.24E-05,0.00038229
sxe2,0.909139323,9.229763504,3.27E-05,0.000385527
scra,3.202311012,3.924888114,3.31E-05,0.000389034
CG32225,-0.875927176,5.886979295,3.32E-05,0.000389946
CG3769,-1.252553869,4.609416382,3.33E-05,0.000390417
CG7910,1.520758527,2.371252952,3.35E-05,0.000392205
Root,-1.276662449,4.180300138,3.36E-05,0.000393424
mtsh,1.80063088,0.620070175,3.36E-05,0.000393424
chn,-0.708748141,7.82509686,3.38E-05,0.000394516
nolo,0.961592792,5.489877273,3.39E-05,0.00039594
Zw,-0.711946747,7.50706892,3.48E-05,0.000405311
sprt,0.78822173,6.45598133,3.50E-05,0.000407831
CG6845,1.397692189,2.711871054,3.54E-05,0.000411512
BubR1,3.282601863,3.547978745,3.55E-05,0.000411807
Jheh1,-0.766214312,9.077011625,3.64E-05,0.000422167
CG8173,4.25443058,3.819869985,3.67E-05,0.000424646
Gbs-70E,1.564846344,6.032512797,3.68E-05,0.000425305
CG31705,0.690514464,8.127947407,3.78E-05,0.000436918
CG10738,1.212246213,4.603489058,3.83E-05,0.000441512
jeb,-1.016225619,5.30335016,3.83E-05,0.00044161
CG1146,1.143418981,5.360553771,3.85E-05,0.000443451
Hk,-0.748451549,8.005699415,3.88E-05,0.000446635
tfc,2.952520286,1.069569662,3.93E-05,0.00045142
CG6426,1.114119233,4.987268082,3.94E-05,0.000452194
CG5955,1.166457777,4.747458429,3.96E-05,0.000454141
CG34002,1.936168698,0.323795235,3.99E-05,0.000456731
Sulf1,0.709116864,7.0657997,4.00E-05,0.000457437
CG42346,1.476340431,1.384218934,4.13E-05,0.000471488
CG13793,1.342159731,3.067241567,4.18E-05,0.000477009
Skeletor,1.432104581,3.435826336,4.19E-05,0.000477167
Pu,0.784242653,7.477177654,4.28E-05,0.000486211
CG8547,0.714453576,8.061159106,4.35E-05,0.000494362
CG42402,1.204054097,4.616259484,4.40E-05,0.000498866
Spn42Db,-1.496537514,1.436440657,4.50E-05,0.000509365
CR32205,2.32585153,2.067500938,4.51E-05,0.000510385
alpha-Est4aPsi,1.623121473,1.861898972,4.55E-05,0.000514227
Snp,1.003393514,6.116456494,4.56E-05,0.000514915
CR43651,3.0028457,1.797055591,4.57E-05,0.000515948
wrapper,1.521739906,1.199471545,4.59E-05,0.000516858
CG13855,0.948542078,5.447028607,4.67E-05,0.000525927
CG5048,1.040823891,5.095291496,4.71E-05,0.000528447
Rim,-0.856485577,6.648604874,4.71E-05,0.000528447
Est-6,0.71546946,11.29630075,4.71E-05,0.000528472
CG9170,-0.712491845,7.332505888,4.76E-05,0.000533452
CanB,-0.876266643,5.776198193,4.84E-05,0.000541547
Ppn,0.842400382,6.533210633,4.86E-05,0.000543187
CAHbeta,-1.202398075,4.534404467,4.96E-05,0.000553145
Glycogenin,1.071015909,6.732250557,4.99E-05,0.000556302
CG9492,0.765595163,8.362523662,5.08E-05,0.000565479
caup,2.349458181,1.968809023,5.12E-05,0.00056885
alphaTub85E,1.61768249,3.244918706,5.15E-05,0.000572388
CycA,4.694249492,4.870886739,5.26E-05,0.000583894
CG10747,0.812738321,6.102620141,5.30E-05,0.000587648
CG31445,1.243918726,4.517930105,5.33E-05,0.000590378
CR44833,-1.585408456,0.964848979,5.44E-05,0.000600887
CG30016,1.514938688,1.385911338,5.51E-05,0.000608523
tsl,1.228013948,4.393491448,5.53E-05,0.000608967
Mcm7,4.140575558,3.08822428,5.53E-05,0.000608967
VhaAC45,-0.666696695,9.000581104,5.62E-05,0.000617893
CR32207,2.248617524,1.75386591,5.74E-05,0.000630611
CR44298,-1.637292878,0.849122912,5.77E-05,0.000632839
CG43902,-0.681575549,7.514800096,5.78E-05,0.000633407
spd-2,2.588074151,1.488243265,5.94E-05,0.000650658
rdhB,1.425767504,1.709507507,5.97E-05,0.00065283
CG15186,-1.253941788,4.220389248,6.00E-05,0.000655141
CG3339,0.75919644,7.18154832,6.10E-05,0.000665552
CG3308,0.74494051,7.657160385,6.11E-05,0.00066563
ZnT35C,1.030604256,5.38635187,6.11E-05,0.00066563
Sobp,-1.296502963,3.882121547,6.13E-05,0.000666788
CG1607,1.227355437,4.668193259,6.16E-05,0.000668392
CG1998,-0.719512112,6.88499842,6.16E-05,0.000668392
teq,1.087438611,5.136982408,6.17E-05,0.000668392
CG43091,0.755366176,7.045893966,6.22E-05,0.000672913
Oseg1,-0.841374978,5.958816443,6.22E-05,0.000673152
CG9451,0.716076492,7.250053796,6.24E-05,0.000674177
Dl,1.416844933,4.329039205,6.35E-05,0.00068457
CG32695,-1.788771997,0.734771821,6.35E-05,0.00068457
mir-7,-1.631525712,1.305747396,6.39E-05,0.00068793
CG6216,1.304264534,3.814405523,6.42E-05,0.000690532
CG13077,-1.667332266,4.222001123,6.53E-05,0.000701156
eIF4E-6,1.615742101,1.546785867,6.55E-05,0.000702545
CG3397,1.606906898,1.481391169,6.68E-05,0.000715433
CG31323,-0.946034196,5.380712083,6.69E-05,0.000715828
Con,-1.016390847,5.183189867,6.76E-05,0.000722997
CG9674,0.681164463,9.27577415,6.79E-05,0.000724666
CG3902,0.916060891,6.824035431,6.82E-05,0.000727151
